,Sección,Recuento,orden
0,quiz_work,20,quiz_work
1,quiz_fit,20,quiz_fit
2,quiz_highlight,19,quiz_highlight
3,quiz_bodyShape,19,quiz_bodyShape
4,quiz_eyes,19,quiz_eyes
5,quiz_hair,19,quiz_hair
7,quiz_sizes,18,quiz_sizes
14,quiz_measurements,18,quiz_measurements
13,quiz_focus,18,quiz_focus
12,quiz_adventurous,18,quiz_adventurous
11,quiz_styles,18,quiz_styles
6,quiz_prices,18,quiz_prices
15,quiz_avoid,18,quiz_avoid
10,quiz_footwear,18,quiz_footwear
9,quiz_you,18,quiz_you
8,quiz_photos,18,quiz_photos
18,quiz_signUp,7,quiz_signUp
