,section,Mediana_Real_3,Mediana_Mediana_diferencia_4,diferencia_tiempo,Tipo_tiempo
0,quiz_adventurous,17.9,13.585148,22.342057000000004,Tiempo_mediana
1,quiz_adventurous,17.9,13.585148,27.43,Nuestro tiempo
2,quiz_avoid,17.9,13.585148,11.678215000000002,Tiempo_mediana
3,quiz_avoid,17.9,13.585148,19.7,Nuestro tiempo
4,quiz_bodyShape,17.9,13.585148,31.461469,Tiempo_mediana
5,quiz_bodyShape,17.9,13.585148,15.04,Nuestro tiempo
6,quiz_eyes,17.9,13.585148,9.850355,Tiempo_mediana
7,quiz_eyes,17.9,13.585148,8.61,Nuestro tiempo
8,quiz_fit,17.9,13.585148,12.439664,Tiempo_mediana
9,quiz_fit,17.9,13.585148,21.32,Nuestro tiempo
10,quiz_focus,17.9,13.585148,14.661423000000001,Tiempo_mediana
11,quiz_focus,17.9,13.585148,15.5,Nuestro tiempo
12,quiz_footwear,17.9,13.585148,26.4064395,Tiempo_mediana
13,quiz_footwear,17.9,13.585148,23.07,Nuestro tiempo
14,quiz_hair,17.9,13.585148,9.486378,Tiempo_mediana
15,quiz_hair,17.9,13.585148,7.48,Nuestro tiempo
16,quiz_highlight,17.9,13.585148,16.322149,Tiempo_mediana
17,quiz_highlight,17.9,13.585148,17.9,Nuestro tiempo
18,quiz_measurements,17.9,13.585148,12.989189000000001,Tiempo_mediana
19,quiz_measurements,17.9,13.585148,14.53,Nuestro tiempo
20,quiz_photos,17.9,13.585148,10.622966,Tiempo_mediana
21,quiz_photos,17.9,13.585148,8.7,Nuestro tiempo
22,quiz_prices,17.9,13.585148,11.5993055,Tiempo_mediana
23,quiz_prices,17.9,13.585148,9.04,Nuestro tiempo
24,quiz_signUp,17.9,13.585148,14.804920000000001,Tiempo_mediana
25,quiz_signUp,17.9,13.585148,39.55,Nuestro tiempo
26,quiz_sizes,17.9,13.585148,24.5178815,Tiempo_mediana
27,quiz_sizes,17.9,13.585148,27.13,Nuestro tiempo
28,quiz_styles,17.9,13.585148,48.0538045,Tiempo_mediana
29,quiz_styles,17.9,13.585148,25.99,Nuestro tiempo
30,quiz_work,17.9,13.585148,7.924682000000001,Tiempo_mediana
31,quiz_work,17.9,13.585148,12.93,Nuestro tiempo
32,quiz_you,17.9,13.585148,13.585148,Tiempo_mediana
33,quiz_you,17.9,13.585148,20.91,Nuestro tiempo
