,section,diferencia_tiempo
0,quiz_adventurous,22.342057000000004,27.43
1,quiz_avoid,11.678215,19.7
2,quiz_bodyShape,31.461469,15.04
3,quiz_eyes,9.850355,8.61
4,quiz_fit,12.439664,21.32
5,quiz_focus,14.661423,15.5
6,quiz_footwear,26.4064395,23.07
7,quiz_hair,9.486378,7.48
8,quiz_highlight,16.322149,17.9
9,quiz_measurements,12.989189,14.53
10,quiz_photos,10.622966,8.7
11,quiz_prices,11.5993055,9.04
12,quiz_signUp,14.80492,39.55
13,quiz_sizes,24.5178815,27.13
14,quiz_styles,48.0538045,25.99
15,quiz_work,7.924682,12.93
16,quiz_you,13.585148,20.91
